index,name,name_pub,manmask,record,blue_before,blue_after,quanta,ew_before,ew_after,dew_pct,band
48,Mrk 841_COS,Mrk  841,2,BEST_iter05_gtr_hand,1368.7301546325386,-217.00183287294783,-23,1547.1660525077718,182.65138258083127,-88.19445512750391,large
49,ESO 141-55_COS,ESO 141-55,3,BEST_iter04_gtr_prior,335.5125590520637,197.48560807496355,-2,119.98490704192486,87.41434767943552,-27.145547023767417,large
50,Mrk 1179_COS,Mrk 1179,0,REJECT_ALL_iter03_allmasks,2124.151328187517,818.1325347858609,-19,30.86661032998837,108.71880302159164,252.22138699164577,large
51,Mrk 486_COMBINED,Mrk  486,3,BEST_iter01_baseline,59.38121176138286,128.44309058521125,1,53.428970834118466,59.96729834806125,12.237419908840097,large
52,LEDA 1771917_COS,LEDA 1771917,3,BEST_iter07_gtr_hand_zNED_open1525,197.48560807496355,-78.78126855460229,-4,126.02009253995084,162.78044229648708,29.170229140152784,large
53,LEDA 88588_STIS,1H 0707-495,3,BEST_iter05_gtr_hand,2466.90502620236,2398.385264733984,-1,14.815648697168434,14.516247025573865,-2.020847535699138,small
54,Mrk 231_COS,Mrk 231,2,BEST_iter02_gtr_hand,2603.886465136709,1986.9569145778023,-9,12.065441224740251,42.64530709240562,253.45004213323915,large
56,Mrk 1018_COS,Z 387-34,2,BEST_iter05_gtr_hand2,-355.2804811936978,-286.1411570333448,1,389.8825551080064,267.06014178901086,-31.502413152332736,large
57,NGC 985_COS,NGC   985,2,BEST_iter03_allmasks,-9.68066706248958,197.48560807496355,3,87.11115651379748,97.8060792710233,12.277328398839302,large
58,IRASF12397+3333_COS,LEDA   42648,0,REJECT_ALL_iter03_allmasks,3970.312621008336,3902.1413635542094,-1,23.98836868185248,24.821115490227506,3.4714607709235685,small
59,Mrk 142_STIS,Mrk  142,3,BEST_iter05_gtr_hand,335.5125590520637,335.5125590520637,0,60.86362266122486,60.890735074594176,0.04454617090446244,unchanged
60,ESO 113-45_FOS,Fairall 9,3,BEST_iter05_gtr_hand_z-69b,-78.78126855460229,-78.78126855460229,0,191.5907563412009,191.58949068224948,-0.0006606054360769109,unchanged
61,Z 535-12_COS,Z 535-12,2,BEST_iter08_gtr_plus_spike_high,-147.88187004671502,-424.45852802229103,-4,274.75306014000057,209.361517220412,-23.80011450510079,large
62,Mrk 1253_COS,Z   8-93,3,BEST_iter04_gtr_prior,680.3185584841262,473.48142602680343,-3,313.4875749681148,223.5085465434499,-28.702582050920768,large
64,3C390.3_FOS,3C 390.3,2,BEST_iter04_gtr_prior,611.3922089991388,611.3922089991388,0,229.4030897743993,240.13129020679503,4.67657189924779,small
65,ICRF J183503.3+324146_STIS,Z 173-14,0,REJECT_ALL_iter03_allmasks,-78.78126855460229,-839.7978676717526,-11,415.5414264905063,241.75445324551225,-41.82181659064129,large
66,2MASS J00505073+3536429_COS,2MASS J00505073+3536429,3,BEST_iter04_gtr_prior,266.5087642305957,128.44309058521125,-2,362.6815937992602,117.84365312742476,-67.50768300840495,large
67,QSO B1011-040_COS,QSO B1011-040,3,BEST_iter01_baseline,266.5087642305957,680.3185584841262,6,49.44822460975603,26.81892452314253,-45.763625014251346,large
68,LEDA 89176_COS,LEDA   89176,0,REJECT_ALL_iter03_allmasks,-2715.930505718027,59.38121176138286,40,45.146777855435005,45.92913678579039,1.732923073404233,large
