order,category,row_num,designation,name_pub,name_source,name_mast_key,name_simbad,sulentic,z,z_dv_kms,z_needs_check,sdss_flag,oiii_observable,validation_route,work_status,manmask,civ_frac_best,ciii_frac_best,mgii_frac_best,n_spectra,instruments_master,stems,measurement_provenance,companion_within_30as
113,no_sdss,301,J132349.50+654148.2,PG 1322+659,sulentic,PG1322+659,2MASS J13234951+6541480,yes,0.1674,12.8,no,,False,uv_anchor,fit,,1.0,1.0,1.0,2,FOS;STIS,PG1322+659_FOS;PG1322+659_STIS,,
114,no_sdss,436,J172819.79-141555.9,QSO B1725-142,mast,QSO B1725-142,[YAZ2019] C1,,0.185,126.5,yes,,False,uv_anchor,fit,1,1.0,1.0,0.0,2,COS;STIS,QSO B1725-142_COS;QSO B1725-142_STIS,,
115,no_sdss,16,J004354.98+423430.2,QSO J0043+4234,simbad,2MASS J00435499+4234302,QSO J0043+4234,,0.191,125.9,yes,,False,ned_simbad,fit,3,1.0,0.0,0.0,1,COS,2MASS J00435499+4234302_COS,gtr_reproducible,
116,no_sdss,452,J213745.21-143255.9,[HB89] 2135-147,sulentic,ICRF J213745.1-143255,ICRF J213745.1-143255,yes,0.2004,12.5,no,,False,uv_anchor,fit,,1.0,1.0,0.0,3,COS;FOS;STIS,ICRF J213745.1-143255_COS;ICRF J213745.1-143255_FOS;ICRF J213745.1-143255_STIS,,
117,no_sdss,453,J214335.56+174349.1,[HB89] 2141+175,sulentic,OX169,QSO B2141+1730,yes,0.2106,12.4,no,,False,uv_anchor,fit,3,1.0,1.0,0.0,1,FOS,OX169_FOS,gtr_reproducible,
118,no_sdss,295,J131950.29-015804.5,LBQS 1317-0142,sulentic,LBQS1317-0142,LBQS 1317-0142,yes,0.225,122.4,yes,,False,uv_anchor,fit,3,1.0,0.9688,0.0,1,FOS,LBQS1317-0142_FOS,gtr_reproducible,
119,no_sdss,146,J095652.38+411522.4,PG 0953+414,sulentic,PG0953+415,PG 0953+414,yes,0.2347,12.1,no,,False,uv_anchor,fit,1,1.0,1.0,0.0,3,COS;FOS;STIS,PG0953+415_COS;PG0953+415_FOS;PG0953+415_STIS,,
120,no_sdss,216,J113504.90-031852.4,LBQS 1132-0302,sulentic,LBQS1132-0302,LBQS 1132-0302,yes,0.236,121.3,yes,,False,uv_anchor,fit,3,1.0,0.92,0.0,1,FOS,LBQS1132-0302_FOS,gtr_reproducible,
121,no_sdss,37,J013416.80-425827.0,HE 0132-4313,sulentic,RXJ0134-42,2MASS J01341690-4258262,yes,0.237,121.2,yes,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,FOS,RXJ0134-42_FOS,alex_mask_NOT_reproducible,
122,no_sdss,40,J013957.27+013146.3,UM 355,sulentic,PHL1093,ICRF J013957.3+013146,yes,0.26,1189.7,yes,,False,uv_anchor,fit,3,1.0,1.0,0.0,1,FOS,PHL1093_FOS,alex_mask_NOT_reproducible,
123,no_sdss,283,J130532.99-103319.8,PG 1302-102,sulentic,ICRF J130533.0-103319,QSO J1305-1033,yes,0.2783,11.7,no,,False,uv_anchor,fit,2,1.0,1.0,0.0,3,COS;FOS;STIS,ICRF J130533.0-103319_COS;ICRF J130533.0-103319_FOS;ICRF J130533.0-103319_STIS,,
124,no_sdss,72,J045230.04-295335.3,IRAS 04505-2958,sulentic,IR0450-2958,[MSE2017] B2,yes,0.2855,11.7,no,,False,ned_simbad,fit,3,1.0,0.0,0.0,1,FOS,IR0450-2958_FOS,gtr_reproducible,
125,no_sdss,428,J170124.89+514920.1,IRAS 17002+5153,simbad,PG1700+518,IRAS 17002+5153,,0.292,116.0,yes,,False,uv_anchor,fit,1,1.0,1.0,0.0,2,FOS;STIS,PG1700+518_FOS;PG1700+518_STIS,,
126,no_sdss,454,J220315.00+314537.8,[HB89] 2201+315,sulentic,J2203+3145,4C 31.63,yes,0.2952,11.6,no,,False,uv_anchor,fit,,1.0,1.0,1.0,2,COS;FOS,J2203+3145_COS;J2203+3145_FOS,,
127,no_sdss,437,J182157.12+642036.5,[HB89] 1821+643,sulentic,H1821+643,7C 1821+6419,yes,0.2972,11.6,no,,False,uv_anchor,fit,1,1.0,1.0,0.0,3,COS;FOS;STIS,H1821+643_COS;H1821+643_FOS;H1821+643_STIS,,
128,no_sdss,443,J192748.51+735801.8,[HB89] 1928+738,sulentic,4C73-18,4C 73.18,yes,0.3021,11.5,no,,False,uv_anchor,fit,3,1.0,1.0,0.0,1,FOS,4C73-18_FOS,gtr_reproducible,
129,no_sdss,185,J110413.80+765858.1,PG 1100+772,sulentic,[OKM2018] SWIFT J1104.8+7689,[OKM2018] SWIFT J1104.8+7689,yes,0.3116,11.4,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,2,FOS;STIS,[OKM2018] SWIFT J1104.8+7689_FOS;[OKM2018] SWIFT J1104.8+7689_STIS,,
130,no_sdss,383,J145427.37-374733.9,[HB89] 1451-375,sulentic,PKS1451-375,QSO B1451-375,yes,0.314,114.1,yes,,False,ned_simbad,fit,3,1.0,0.0,0.0,1,FOS,PKS1451-375_FOS,alex_mask_NOT_reproducible,
131,no_sdss,325,J135900.18-415252.8,[HB89] 1355-416,sulentic,QSO B1355-4138,QSO B1355-4138,yes,0.3145,11.4,no,,False,ned_simbad,fit,1,1.0,0.0,0.0,2,COS;FOS,QSO B1355-4138_COS;QSO B1355-4138_FOS,,
132,no_sdss,463,J225410.41+113638.9,[HB89] 2251+113,sulentic,4C 11.72,4C 11.72,yes,0.3256,11.3,no,,False,uv_anchor,fit,2,1.0,1.0,1.0,2,FOS;STIS,4C 11.72_FOS;4C 11.72_STIS,,"LAMOST J225410.59+113635.8 (QSO, 4"")"
133,no_sdss,247,J121920.95+063838.4,PG 1216+069,sulentic,PG 1216+069,PG 1216+069,yes,0.3322,11.3,no,,False,uv_anchor,fit,2,1.0,1.0,0.0,3,COS;FOS;STIS,PG 1216+069_COS;PG 1216+069_FOS;PG 1216+069_STIS,,
134,no_sdss,78,J063002.61+690503.1,HS 0624+6907,sulentic,QSO B0624+6907,QSO B0624+6907,yes,0.3702,10.9,no,,False,uv_anchor,fit,3,1.0,1.0,0.0,2,FOS;STIS,QSO B0624+6907_FOS;QSO B0624+6907_STIS,,
135,no_sdss,421,J163013.58+375821.0,QSO B1628+380,simbad,1628.5+3808,QSO B1628+380,,0.3945,10.7,no,,False,ned_simbad,fit,1,1.0,0.0,0.0,1,FOS,1628.5+3808_FOS,,
136,no_sdss,50,J021707.66+110409.5,[HB89] 0214+108,sulentic,PKS0214+10,4C 10.06,yes,0.408,106.5,yes,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,FOS,PKS0214+10_FOS,alex_mask_NOT_reproducible,
137,no_sdss,116,J090631.86+164612.2,3C 215,sulentic,3C215,LB  9308,yes,0.4113,10.6,no,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,FOS,3C215_FOS,gtr_reproducible,
138,no_sdss,467,J231117.80+100816.1,[HB89] 2308+098,sulentic,PG2308+098,4C 09.72,yes,0.4341,10.5,no,,False,uv_anchor,fit,,1.0,1.0,0.0,1,FOS,PG2308+098_FOS,,
139,no_sdss,3,J000559.22+160949.0,PG 0003+158,sulentic,ICRF J000559.2+160949,ICRF J000559.2+160949,yes,0.4504,10.3,no,,False,uv_anchor,fit,2,1.0,1.0,0.0,2,COS;FOS,ICRF J000559.2+160949_COS;ICRF J000559.2+160949_FOS,,
140,no_sdss,448,J211452.58+060742.6,[HB89] 2112+059,sulentic,2MASS J21145258+0607423,2MASS J21145258+0607423,yes,0.4608,10.3,no,,False,uv_anchor,fit,2,1.0,1.0,0.0,3,COS;FOS;STIS,2MASS J21145258+0607423_COS;2MASS J21145258+0607423_FOS;2MASS J21145258+0607423_STIS,,
141,no_sdss,449,J213135.29-120704.9,[HB89] 2128-123,sulentic,QSO B2128-123,QSO B2128-123,yes,0.4996,10.0,no,,False,uv_anchor,fit,2,1.0,1.0,0.0,2,COS;FOS,QSO B2128-123_COS;QSO B2128-123_FOS,,
142,no_sdss,465,J230343.50-680737.1,[HB89] 2300-683,sulentic,PKS2300-68,QSO B2300-683,yes,0.5158,9.9,no,,False,uv_anchor,fit,3,1.0,1.0,0.0,1,FOS,PKS2300-68_FOS,alex_mask_NOT_reproducible,
143,no_sdss,73,J045608.90-215909.3,[HB89] 0454-220,sulentic,J04561-2159,QSO J0456-2159,yes,0.5346,9.8,no,,False,uv_anchor,fit,0,1.0,1.0,1.0,3,COS;FOS;STIS,J04561-2159_COS;J04561-2159_FOS;J04561-2159_STIS,,
144,no_sdss,219,J113910.70-135043.5,[HB89] 1136-135,sulentic,Crt A,QSO J1139-1350,yes,0.5562,9.6,no,,False,uv_anchor,fit,2,1.0,1.0,0.0,2,COS;FOS,Crt A_COS;Crt A_FOS,,
145,no_sdss,63,J040533.97-130814.0,[HB89] 0403-132,sulentic,PKS0403-13,QSO B0403-132A,yes,0.5705,9.5,no,,False,uv_anchor,fit,3,1.0,1.0,1.0,1,FOS,PKS0403-13_FOS,,
146,no_sdss,17,J004458.78+102652.8,[HB89] 0042+101,sulentic,MC0042+101,QSO B0042+101,yes,0.5857,9.5,no,,False,uv_anchor,fit,3,1.0,1.0,0.0,1,FOS,MC0042+101_FOS,gtr_reproducible,
147,no_sdss,70,J044117.30-431343.9,[HB89] 0439-433,sulentic,QSO J0441-4313,[CL2003] PKS 0439-433 1,yes,0.5938,9.4,no,,False,uv_anchor,fit,2,1.0,1.0,0.0,3,COS;FOS;STIS,QSO J0441-4313_COS;QSO J0441-4313_FOS;QSO J0441-4313_STIS,,
148,no_sdss,61,J035128.57-142908.4,3C 095,sulentic,3C 95,3C  95,yes,0.616,92.8,yes,,False,uv_anchor,fit,2,1.0,1.0,0.0,2,COS;FOS,3C 95_COS;3C 95_FOS,,
149,no_sdss,18,J004705.90+031954.9,PG 0044+030,sulentic,87GB 004432.0+030343,87GB 004432.0+030343,yes,0.6231,9.2,no,,False,uv_anchor,fit,2,1.0,1.0,0.0,2,COS;FOS,87GB 004432.0+030343_COS;87GB 004432.0+030343_FOS,,
150,no_sdss,459,J224618.19-120651.2,[HB89] 2243-123,sulentic,PKS2243-123,QSO J2246-1206,yes,0.6255,9.2,no,,False,uv_anchor,fit,3,1.0,1.0,0.0,1,FOS,PKS2243-123_FOS,alex_mask_NOT_reproducible,
151,no_sdss,221,J113957.03+654749.3,3C 263,sulentic,ICRF J113957.0+654749,ICRF J113957.0+654749,yes,0.6465,9.1,no,,False,uv_anchor,fit,1,1.0,1.0,1.0,2,COS;FOS,ICRF J113957.0+654749_COS;ICRF J113957.0+654749_FOS,,
152,no_sdss,79,J063546.66-751616.6,[HB89] 0637-752,sulentic,QSO J0635-7516,QSO J0635-7516,yes,0.651,90.8,yes,,False,uv_anchor,fit,2,1.0,1.0,0.0,2,COS;FOS,QSO J0635-7516_COS;QSO J0635-7516_FOS,,
153,no_sdss,46,J020157.17-113233.3,3C 057,sulentic,ICRF J020157.1-113233,ICRF J020157.1-113233,yes,0.6713,9.0,no,,False,uv_anchor,fit,2,1.0,1.0,0.0,2,COS;FOS,ICRF J020157.1-113233_COS;ICRF J020157.1-113233_FOS,,
154,no_sdss,471,J234636.89+093046.0,[HB89] 2344+092,sulentic,PKS2344+09,4C 09.74,yes,0.6719,9.0,no,,False,uv_anchor,fit,3,1.0,0.9956,0.0,1,FOS,PKS2344+09_FOS,alex_mask_NOT_reproducible,
155,no_sdss,64,J041716.71-055345.8,3C 110,sulentic,3C110,2E   962,yes,0.7744,8.4,no,,False,ned_simbad,fit,3,1.0,0.0,0.0,1,FOS,3C110_FOS,gtr_reproducible,
156,no_sdss,38,J013738.30-243053.9,[HB89] 0135-247,sulentic,ICRF J013738.3-243053,QSO B0135-2446,yes,0.835,81.7,yes,,False,ned_simbad,fit,3,1.0,0.0,0.0,1,STIS,ICRF J013738.3-243053_STIS,gtr_reproducible,
157,no_sdss,461,J225357.76+160853.2,3C 454.3,sulentic,3C 454.3,3C 454.3,yes,0.8586,8.1,no,,False,uv_anchor,fit,2,1.0,1.0,1.0,2,COS;FOS,3C 454.3_COS;3C 454.3_FOS,,
158,no_sdss,455,J221852.08-033537.3,[HB89] 2216-038,sulentic,PKS2216-03,4C -03.79,yes,0.901,78.9,yes,,False,uv_anchor,fit,,1.0,1.0,0.0,1,FOS,PKS2216-03_FOS,,
159,no_sdss,66,J042315.78-012033.9,[HB89] 0420-014,sulentic,PKS0420-01,QSO B0420-0127,yes,0.915,78.3,yes,,False,ned_simbad,fit,2,1.0,0.0,0.0,2,FOS;STIS,PKS0420-01_FOS;PKS0420-01_STIS,,
160,sdss,243,J121417.95+293144.2,7C 121146.50+294816.00,simbad,WAS 49,7C 121146.50+294816.00,,0.0633,14.1,no,1,True,sdss_oiii,iue_only,,0.0,0.0,0.0,0,,,,"2MASX J12141820+2931464 (Sy2, 5"")"
161,sdss,381,J145108.70+270927.0,2MASX J14510879+2709272,simbad,2MASX J14510879+2709272,2MASX J14510879+2709272,,0.0648217705016947,0.0,no,1,True,uv_anchor,fit,1,1.0,1.0,1.0,2,COS;STIS,2MASX J14510879+2709272_COS;2MASX J14510879+2709272_STIS,,
162,sdss,363,J142129.82+474726.1,LEDA  140305,simbad,QSO1419+48,LEDA  140305,,0.0726,14.0,no,1,True,sdss_oiii,iue_only,,0.0,0.0,0.0,0,,,,"SDSS J142130.04+474728.6 (AGN, 4"")"
163,sdss,334,J140700.40+282714.6,Mrk  668,simbad,OQ208,Mrk  668,,0.0764120605669926,0.0,no,1,True,uv_anchor,fit,1,1.0,1.0,0.0,1,FOS,OQ208_FOS,,
164,sdss,59,J031027.80-004950.8,LEDA  138607,simbad,LEDA 138607,LEDA  138607,,0.0804266222243994,0.0,no,1,True,sdss_oiii,no_civ_coverage,1,0.0,0.0,0.0,1,COS,LEDA 138607_COS,,
165,sdss,141,J094745.09+072520.1,ATO J146.9381+07.4223,simbad,3C 227,ATO J146.9381+07.4223,,0.0862,13.8,no,1,True,sdss_oiii,iue_only,,0.0,0.0,0.0,0,,,,
166,sdss,313,J134356.72+253847.5,Ton  730,simbad,Ton 730,Ton  730,,0.086539683507218,0.0,no,1,True,sdss_oiii,no_civ_coverage,,0.0,0.0,0.0,2,COS;STIS,Ton 730_COS;Ton 730_STIS,,
167,sdss,71,J044428.77+122111.7,LEDA 2816425,simbad,IRAS04416+1215,LEDA 2816425,,0.0892256129861164,0.0,no,1,True,sdss_oiii,fit,0,1.0,0.0,0.0,1,COS,IRAS04416+1215_COS,,
168,sdss,333,J140621.89+222346.7,PG 1404+226,sulentic,PG1404+226,PG 1404+226,yes,0.098618442998925,0.0,no,1,True,uv_anchor,fit,1,1.0,1.0,1.0,2,FOS;STIS,PG1404+226_FOS;PG1404+226_STIS,,
169,sdss,367,J142725.06+194952.6,MRK 0813,sulentic,Mrk813,Mrk  813,yes,0.1107561091936612,0.0,no,1,True,uv_anchor,fit,1,1.0,1.0,0.0,1,FOS,Mrk813_FOS,,
170,sdss,348,J141700.84+445606.2,PG 1415+451,sulentic,LEDA 51016,LEDA   51016,yes,0.1138140055114756,0.0,no,1,True,uv_anchor,fit,2,1.0,1.0,1.0,3,COS;FOS;STIS,LEDA 51016_COS;LEDA 51016_FOS;LEDA 51016_STIS,,
171,sdss,314,J134617.55+622045.3,6C 134441+623604,simbad,6C 134441+623604,6C 134441+623604,,0.1164308027393893,0.0,no,1,True,uv_anchor,no_civ_coverage,0,0.0,0.0,1.0,2,COS;STIS,6C 134441+623604_COS;6C 134441+623604_STIS,,
172,sdss,119,J091009.93+481341.5,2MASX J09101004+4813419,simbad,Q 0906+484,2MASX J09101004+4813419,,0.1173,13.4,no,1,True,sdss_oiii,iue_only,,0.0,0.0,0.0,0,,,,
173,sdss,284,J130534.48+181932.9,ZW VIII 233,simbad,2MASX J13053451+1819328,ZW VIII 233,,0.1178946587914367,0.0,no,1,True,uv_anchor,fit,1,1.0,0.0,1.0,2,COS;STIS,2MASX J13053451+1819328_COS;2MASX J13053451+1819328_STIS,,
174,sdss,405,J155444.58+082221.5,LEDA   56356,simbad,PG1552+085,LEDA   56356,,0.1194697544164308,0.0,no,1,True,uv_anchor,fit,1,1.0,1.0,1.0,1,STIS,PG1552+085_STIS,,
175,sdss,88,J075101.42+291419.1,ATO J117.7559+29.2386,simbad,ATO J117.7559+29.2386,ATO J117.7559+29.2386,,0.1210142853943256,0.0,no,1,True,sdss_oiii,fit,1,1.0,0.0,0.0,1,COS,ATO J117.7559+29.2386_COS,,
176,sdss,322,J135516.55+561244.6,LEDA 2816068,simbad,LEDA 2816068,LEDA 2816068,,0.1218034353514376,0.0,no,1,True,sdss_oiii,fit,1,1.0,0.0,0.0,1,COS,LEDA 2816068_COS,,
177,sdss,125,J091955.35+552137.4,Mrk  106,simbad,Mrk 106,Mrk  106,,0.12314997798642,0.0,no,1,True,sdss_oiii,fit,,1.0,0.0,0.0,1,COS,Mrk 106_COS,,
178,sdss,389,J152139.61+033729.2,2MASS J15213967+0337292,simbad,2MASS J15213967+0337292,2MASS J15213967+0337292,,0.1262864548589803,0.0,no,1,True,sdss_oiii,fit,1,0.8465,0.0,0.0,1,COS,2MASS J15213967+0337292_COS,,
179,sdss,228,J115346.15+561935.2,LEDA 3096080,simbad,LEDA 3096080,LEDA 3096080,,0.1291216814377574,0.0,no,1,True,sdss_oiii,civ_partial,1,0.5714,0.0,0.0,1,COS,LEDA 3096080_COS,,
180,sdss,411,J161413.24+260416.5,[HB89] 1612+261,sulentic,J16142+2604,Ton  256,yes,0.1308076966203416,0.0,no,1,True,uv_anchor,fit,,1.0,1.0,0.0,1,FOS,J16142+2604_FOS,,
181,sdss,44,J015536.02+311517.9,LEDA 3095555,simbad,LEDA 3095555,LEDA 3095555,,0.1337249806307565,0.0,no,1,True,sdss_oiii,fit,2,0.8982,0.0,0.0,1,COS,LEDA 3095555_COS,,
182,sdss,169,J102339.65+523349.6,2MASS J10233966+5233496,simbad,2MASS J10233966+5233496,2MASS J10233966+5233496,,0.1356801793143951,0.0,no,1,True,sdss_oiii,fit,1,1.0,0.0,0.0,1,COS,2MASS J10233966+5233496_COS,,
183,sdss,388,J152114.26+222743.8,LEDA   54782,simbad,LEDA 54782,LEDA   54782,,0.135780889147247,0.0,no,1,True,uv_anchor,fit,2,1.0,1.0,1.0,1,STIS,LEDA 54782_STIS,,
184,sdss,140,J094733.21+100508.8,LEDA 3095898,simbad,LEDA 3095898,LEDA 3095898,,0.1393702916149249,0.0,no,1,True,sdss_oiii,fit,2,0.8725,0.0,0.0,1,COS,LEDA 3095898_COS,,
185,sdss,91,J080101.41+184840.8,2MASS J08010140+1848409,simbad,2MASS J08010140+1848409,2MASS J08010140+1848409,,0.1402260052859415,0.0,no,1,True,uv_anchor,fit,1,1.0,1.0,1.0,2,COS;STIS,2MASS J08010140+1848409_COS;2MASS J08010140+1848409_STIS,,
186,sdss,280,J130036.22+134705.7,LEDA 1440438,simbad,LEDA 1440438,LEDA 1440438,,0.1422236107727236,0.0,no,1,True,sdss_oiii,fit,1,0.8833,0.0,0.0,1,COS,LEDA 1440438_COS,,
187,sdss,195,J111706.29+441334.0,PG 1114+445,sulentic,LEDA 34449,LEDA   34449,yes,0.1436504058603245,0.0,no,1,True,uv_anchor,fit,2,1.0,1.0,1.0,2,FOS;STIS,LEDA 34449_FOS;LEDA 34449_STIS,,
188,sdss,424,J163746.48+114949.1,LEDA 3096499,simbad,1635+119,LEDA 3096499,,0.1474,13.1,no,1,True,sdss_oiii,iue_only,,0.0,0.0,0.0,0,,,,
189,sdss,23,J005346.14+223222.2,2MASS J00534614+2232224,simbad,2MASS J00534614+2232224,2MASS J00534614+2232224,,0.1477439224844126,0.0,no,1,True,sdss_oiii,fit,0,0.8045,0.0,0.0,1,COS,2MASS J00534614+2232224_COS,,
190,sdss,124,J091848.61+211717.0,2MASSI J0918486+211717,simbad,2MASSI-J091848.6+211717,2MASSI J0918486+211717,,0.1494941623197378,0.0,no,1,True,uv_anchor,fit,0,1.0,1.0,1.0,1,STIS,2MASSI-J091848.6+211717_STIS,,
191,sdss,324,J135712.60+170444.0,2MASS J13571260+1704439,simbad,2MASS J13571260+1704439,2MASS J13571260+1704439,,0.1509047488583722,0.0,no,1,True,sdss_oiii,fit,1,0.8406,0.0,0.0,1,COS,2MASS J13571260+1704439_COS,,
192,sdss,321,J135435.66+180517.5,PG 1352+183,sulentic,PB 4142,PB  4142,yes,0.1509130171767141,0.0,no,1,True,uv_anchor,fit,2,1.0,1.0,1.0,2,COS;FOS,PB 4142_COS;PB 4142_FOS,,
193,sdss,414,J161742.50+322232.6,3C 332.0,simbad,3C 332.0,3C 332.0,,0.1509745000065142,0.0,no,1,True,uv_anchor,fit,1,1.0,1.0,1.0,2,FOS;STIS,3C 332.0_FOS;3C 332.0_STIS,,
194,sdss,202,J112114.04+032546.9,2MASS J11211423+0325466,simbad,SDSSJ112114.22+032546.7,2MASS J11211423+0325466,,0.152138166098905,0.0,no,1,True,sdss_oiii,fit,1,0.8374,0.0,0.0,1,COS,SDSSJ112114.22+032546.7_COS,,
195,sdss,196,J111830.31+402554.3,PG 1115+407,sulentic,LEDA 34570,LEDA   34570,yes,0.1542077342911927,0.0,no,1,True,uv_anchor,fit,2,1.0,1.0,1.0,2,COS;FOS,LEDA 34570_COS;LEDA 34570_FOS,,"2MASS J11183067+4025567 (AGN, 5"")"
196,sdss,287,J130947.01+081948.3,PG 1307+085,sulentic,LEDA 45656,LEDA   45656,yes,0.1544022990126218,0.0,no,1,True,uv_anchor,fit,2,1.0,1.0,0.0,3,COS;FOS;STIS,LEDA 45656_COS;LEDA 45656_FOS;LEDA 45656_STIS,,
197,sdss,153,J100420.13+051300.3,PG 1001+054,sulentic,LEDA 29208,LEDA   29208,yes,0.1612385044965225,0.0,no,1,True,uv_anchor,fit,1,1.0,1.0,1.0,2,COS;FOS,LEDA 29208_COS;LEDA 29208_FOS,,
198,sdss,45,J015950.25+002341.0,Mrk 1014,simbad,Mrk 1014,Mrk 1014,,0.1627878673997119,0.0,no,1,True,sdss_oiii,no_civ_coverage,0,0.0,0.0,0.0,2,COS;STIS,Mrk 1014_COS;Mrk 1014_STIS,,
199,sdss,43,J015530.02-085704.0,2MASS J01553002-0857040,simbad,2MASS J01553002-0857040,2MASS J01553002-0857040,,0.1649267928357659,0.0,no,1,True,uv_anchor,fit,1,1.0,0.0,1.0,2,COS;STIS,2MASS J01553002-0857040_COS;2MASS J01553002-0857040_STIS,,
200,sdss,238,J120442.17+275411.8,GQ Com,sulentic,LEDA 38224,QSO J1204+2754,yes,0.1653512357998014,0.0,no,1,True,uv_anchor,fit,1,1.0,1.0,0.9737,2,COS;FOS,LEDA 38224_COS;LEDA 38224_FOS,,
201,sdss,179,J105143.89+335926.7,QSO B1048+342,simbad,QSO B1048+342,QSO B1048+342,,0.1670992347924374,0.0,no,1,True,uv_anchor,fit,1,1.0,1.0,1.0,2,COS;STIS,QSO B1048+342_COS;QSO B1048+342_STIS,,
202,sdss,426,J165939.76+183436.8,LEDA 3096524,simbad,2MASSI-J165939.7+183436,LEDA 3096524,,0.1707950328276241,0.0,no,1,True,uv_anchor,fit,0,1.0,1.0,1.0,1,STIS,2MASSI-J165939.7+183436_STIS,,
203,sdss,25,J005709.94+144610.1,[OKM2018] SWIFT J0056.9+1472,mast,[OKM2018] SWIFT J0056.9+1472,[OKM2018] SWIFT J0056.9+1472,,0.1718091498586923,0.0,no,1,True,sdss_oiii,fit,,1.0,0.0,0.0,1,COS,[OKM2018] SWIFT J0056.9+1472_COS,,
204,sdss,100,J083148.85+042939.2,QSO B0829+047,simbad,OJ 49,QSO B0829+047,,0.1738,12.8,no,1,True,sdss_oiii,iue_only,,0.0,0.0,0.0,0,,,,
205,sdss,473,J235156.08-010913.4,[HB89] 2349-014,sulentic,ICRF J235156.1-010913,4C -01.61,yes,0.1739381299235957,0.0,no,1,True,uv_anchor,fit,,1.0,1.0,0.0,2,COS;FOS,ICRF J235156.1-010913_COS;ICRF J235156.1-010913_FOS,,
206,sdss,199,J111908.68+211918.0,PG 1116+215,sulentic,Ton 1388,Ton  1388,yes,0.1754931152427492,0.0,no,1,True,uv_anchor,fit,2,1.0,1.0,1.0,3,COS;FOS;STIS,Ton 1388_COS;Ton 1388_FOS;Ton 1388_STIS,,
207,sdss,229,J115349.12+112830.1,2MASS J11534927+1128306,simbad,PG 1151+117,2MASS J11534927+1128306,,0.176,127.5,yes,1,True,sdss_oiii,iue_only,,0.0,0.0,0.0,0,,,,
208,sdss,133,J093302.68+385228.0,LEDA 3095876,simbad,LEDA 3095876,LEDA 3095876,,0.1772697001326776,0.0,no,1,True,sdss_oiii,no_civ_coverage,1,0.0,0.0,0.0,1,COS,LEDA 3095876_COS,,
209,sdss,173,J103059.09+310255.6,FBQS J103059.1+310255,sulentic,ICRF J103059.0+310255,6C 102810+311911,yes,0.1777851648275505,0.0,no,1,True,uv_anchor,fit,1,1.0,1.0,1.0,2,COS;FOS,ICRF J103059.0+310255_COS;ICRF J103059.0+310255_FOS,,
210,sdss,92,J080131.59+354436.3,2MASS J08013157+3544362,simbad,2MASS J08013157+3544362,2MASS J08013157+3544362,,0.1788997738249112,0.0,no,1,True,sdss_oiii,no_civ_coverage,1,0.0,0.0,0.0,1,COS,2MASS J08013157+3544362_COS,,
211,sdss,431,J171448.51+332738.2,2MASS J17144850+3327383,simbad,2MASS J17144850+3327383,2MASS J17144850+3327383,,0.1804647950383507,0.0,no,1,True,uv_anchor,civ_partial,1,0.7786,0.0,1.0,2,COS;STIS,2MASS J17144850+3327383_COS;2MASS J17144850+3327383_STIS,,
212,sdss,289,J131217.74+351520.8,FBQS J131217.7+351521,sulentic,Ton 1565,Ton  1565,yes,0.1829260552701501,0.0,no,1,True,uv_anchor,fit,1,1.0,1.0,1.0,3,COS;FOS;STIS,Ton 1565_COS;Ton 1565_FOS;Ton 1565_STIS,,
213,sdss,213,J113137.16+155645.3,RX J1131.6+1557,simbad,RX J1131.6+1557,RX J1131.6+1557,,0.182958699925627,0.0,no,1,True,sdss_oiii,no_civ_coverage,0,0.0,0.0,0.0,1,COS,RX J1131.6+1557_COS,,
214,sdss,137,J093922.90+370943.9,2MASS J09392289+3709438,simbad,2MASS J09392289+3709438,2MASS J09392289+3709438,,0.1862369895060334,0.0,no,1,True,sdss_oiii,civ_partial,1,0.5393,0.0,0.0,1,COS,2MASS J09392289+3709438_COS,,
215,sdss,327,J140251.19+263117.5,2MASS J14025120+2631175,simbad,ZTF J140251.20+263117.6,2MASS J14025120+2631175,,0.1877570936158482,0.0,no,1,True,sdss_oiii,fit,,0.9036,0.0,0.0,1,COS,ZTF J140251.20+263117.6_COS,,
216,sdss,272,J125142.28+240435.2,2MASS J12514225+2404355,simbad,2MASS J12514225+2404355,2MASS J12514225+2404355,,0.188207138877108,0.0,no,1,True,uv_anchor,fit,1,1.0,0.0,1.0,2,COS;STIS,2MASS J12514225+2404355_COS;2MASS J12514225+2404355_STIS,,
217,sdss,130,J092554.71+195405.0,Ton  1057,simbad,Ton 1057,Ton  1057,,0.1897071691256025,0.0,no,1,True,sdss_oiii,fit,1,1.0,0.0,0.0,1,COS,Ton 1057_COS,,
218,sdss,466,J230845.60-091123.9,LEDA  994116,simbad,LEDA 994116,LEDA  994116,,0.192841161378267,0.0,no,1,True,sdss_oiii,fit,2,1.0,0.0044,0.0,1,COS,LEDA 994116_COS,,
219,sdss,254,J122534.79-024757.1,2MASS J12253479-0247571,simbad,2MASS J12253479-0247571,2MASS J12253479-0247571,,0.1954394957730914,0.0,no,1,True,sdss_oiii,fit,1,1.0,0.0,0.0,1,COS,2MASS J12253479-0247571_COS,,
