index,common_name,name_pub,manmask,blue_before,blue_after,quanta,ew_before,ew_after,dew_pct,disposition,record
38,Mrk 493,UGC 10120,3,197.48560807496355,128.44309058521125,-1,155.7427658228923,153.9470035518104,-1.1530309363607878,"small shift, adopt replayed value",BEST_iter04_itermasks
39,Mrk 817,Z 296-15,2,128.44309058521125,-147.88187004671502,-4,88.39276888309928,73.65952413559535,-16.667929892533248,REVIEW,BEST_iter05_gtr_hand2
42,RXS-J00057-5007,LEDA     407,3,-286.1411570333448,-147.88187004671502,2,66.50684415275748,62.276312993166435,-6.361046315585312,"small shift, adopt replayed value",BEST_iter03_allmasks
44,Mrk 509,MRK 0509,3,197.48560807496355,128.44309058521125,-1,142.45975672391,136.8555907215799,-3.9338590288281265,"small shift, adopt replayed value",BEST_iter01_baseline
45,Pic A,PICTOR A,3,266.5087642305957,335.5125590520637,1,244.9974749938436,278.09066513343964,13.507563757719385,REVIEW,BEST_iter09_gtr_hand
46,Mrk 110,Mrk  110,2,-78.78126855460229,-78.78126855460229,0,368.52083999458125,368.3442557655096,-0.04791702663931649,carry over unchanged,BEST_iter05_gtr_hand
47,Mrk 1392,Z  48-115,3,473.48142602680343,473.48142602680343,0,135.124011723317,135.12404907218004,2.764043381728122e-05,carry over unchanged,BEST_iter04_gtr_hand
48,Mrk 841,Mrk  841,2,1368.7301546325386,-9.68066706248958,-20,1547.1660525077718,155.8268392358614,-89.9282407997975,REVIEW,BEST_iter05_gtr_hand
49,ESO 141-55,ESO 141-55,3,335.5125590520637,473.48142602680343,2,119.98490704192486,119.94181044083012,-0.03591835186376637,"small shift, adopt replayed value",BEST_iter04_gtr_prior
51,Mrk 486,Mrk  486,3,59.38121176138286,59.38121176138286,0,53.428970834118466,53.90187953483932,0.8851166199496816,"small shift, adopt replayed value",BEST_iter01_baseline
52,LEDA 1771917,LEDA 1771917,3,197.48560807496355,197.48560807496355,0,126.02009253995084,88.53950526980339,-29.741755076291007,REVIEW,BEST_iter07_gtr_hand_zNED_open1525
53,LEDA 88588,1H 0707-495,3,2466.90502620236,2398.385264733984,-1,14.815648697168434,14.516247025573865,-2.020847535699138,"small shift, adopt replayed value",BEST_iter05_gtr_hand
54,Mrk 231,Mrk 231,2,2603.886465136709,1712.3357513488445,-13,12.065441224740251,47.88760743128376,296.8989325735554,REVIEW,BEST_iter02_gtr_hand
56,Mrk 1018,Z 387-34,2,-355.2804811936978,-217.00183287294783,2,389.8825551080064,280.3159014433544,-28.10247656099913,REVIEW,BEST_iter05_gtr_hand2
57,NGC 985,NGC   985,2,-9.68066706248958,59.38121176138286,1,87.11115651379748,83.94535866087827,-3.6342048247491507,"small shift, adopt replayed value",BEST_iter03_allmasks
59,Mrk 142,Mrk  142,3,335.5125590520637,335.5125590520637,0,60.86362266122486,60.890735074594176,0.04454617090446244,carry over unchanged,BEST_iter05_gtr_hand
60,ESO 113-45,Fairall 9,3,-78.78126855460229,-78.78126855460229,0,191.5907563412009,191.58949068224948,-0.0006606054360769109,carry over unchanged,BEST_iter05_gtr_hand_z-69b
